iter	RMSE
568	0.9066305763
569	0.9065795681
570	0.9065259578
571	0.9064570718
572	0.9064262352
573	0.9063481157
574	0.9062460195
575	0.9061649344
576	0.9060892797
577	0.906039363
578	0.9059746654
579	0.9058860095
580	0.9058087497
581	0.9057361788
582	0.9056711585
583	0.905570532
584	0.9054662146
585	0.905416131
586	0.9053851764
587	0.9053265418
588	0.9052679342
589	0.9051746579
590	0.9050532323
591	0.9049592054
592	0.9048681962
593	0.9047920451
594	0.9047479895
595	0.9046265224
596	0.9045688375
597	0.9045376255
598	0.9045024221
599	0.9044280979
600	0.90433759
601	0.9042065938
602	0.9041643802
603	0.904114555
604	0.9040124416
605	0.9039006226
606	0.9038165952
607	0.9037835173
608	0.9036866617
609	0.903614917
610	0.9035396172
611	0.9034955072
612	0.9034636208
613	0.9034067323
614	0.9033341866
615	0.9032878942
616	0.9032544409
617	0.9031717852
618	0.9030844851
619	0.9030462434
620	0.9029577963
621	0.9029141613
622	0.902824853
623	0.9027493702
624	0.9027224378
625	0.902673182
626	0.9025566853
627	0.9024880394
628	0.9024399993
629	0.902376366
630	0.9023322436
631	0.9022442518
632	0.9021221475
633	0.9020446821
634	0.9019412037
635	0.9018824231
636	0.9018554069
637	0.9018037232
638	0.9017187224
639	0.9016493875
640	0.9015945757
641	0.901548934
642	0.9014901361
643	0.9014504959
644	0.901395126
645	0.9013459429
646	0.9012738371
647	0.901224718
648	0.9011930324
649	0.9011082707
650	0.9010712597
651	0.9010194805
652	0.9009915584
653	0.9009520038
654	0.9008910351
655	0.9008473234
656	0.9008003284
657	0.9006901712
658	0.9006022308
659	0.9005409129
660	0.9004955787
661	0.9004535926
662	0.9004351768
663	0.9003699629
664	0.9003003307
665	0.9002022235
666	0.9001646922
667	0.9001104593
668	0.9000335702
669	0.8999866519
670	0.8999328806
671	0.899894721
672	0.8998667854
673	0.8998134004
674	0.8997578852
675	0.8996473127
676	0.8995514566
677	0.8995018614
678	0.8994667164
679	0.899388998
680	0.8992979612
681	0.899256889
682	0.8992094052
683	0.89917507
684	0.8991310684
685	0.8990894596
686	0.8990524653
687	0.8989964775
688	0.898979658
689	0.8989283386
690	0.898917355
691	0.8988173767
692	0.8987641118
693	0.898665657
694	0.8985702811
695	0.8984439799
696	0.8984098983
697	0.8983751348
698	0.8983059009
699	0.8982622833
